DATABASE	NAME	EC NUMBER(S)	KEGG ID(S)	DELTAG (kcal/mol)	DELTAG ERROR (kcal/mol)	EQUATION	NAME EQ	THERMODYNAMIC FEASIBILTY
rxn05785	rxn05785			10000000	10000000	cpd11463_c0 <=> cpd12036_c0	Protein <=> L-Arginyl-tRNA	<=>
rxn05784	rxn05784		R00166	10000000	10000000	cpd11463_c0 <=> cpd12003_c0	Protein <=> L-Leucyl-tRNA	<=>
rxn05783	rxn05783		R00165	10000000	10000000	cpd11463_c0 <=> cpd11770_c0	Protein <=> L-Alanyl-tRNA	<=>
rxn05782	Phosphoprotein phosphohydrolase	|3.1.3.16|	R00164	10000000	10000000	cpd00001_c0 + cpd11698_c0 <=> cpd00009_c0 + cpd11463_c0	H2O + Phosphoprotein <=> Phosphate + Protein	<=>
rxn05781	ATP:protein phosphotransferase	|2.7.1.13|2.7.11.1|2.7.11.8|2.7.11.9|2.7.11.10|2.7.11.11|2.7.11.12|2.7.11.13|2.7.11.17|2.7.11.21|2.7.11.22|2.7.11.24|2.7.11.25|2.7.11.30|2.7.12.1|2.7.12.2|	R00162	10000000	10000000	cpd00002_c0 + cpd11463_c0 <=> cpd00008_c0 + cpd11698_c0	ATP + Protein <=> ADP + Phosphoprotein	<=>
rxn05780	Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)	|1.18.6.1|		10000000	10000000	(2) cpd00067_c0 + cpd03177_c0 + (2) cpd12713_c0 <=> cpd00013_c0	2 H+ + Hydrazine + 2 e- <=> NH3	<=>
rxn05779	rxn05779	|1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4|1.4.1.5|1.4.1.7|1.4.1.8|1.4.1.9|1.4.1.10|1.4.1.12|1.4.1.15|1.4.1.19|1.4.1.20|	R00146	9.927	1.339	cpd00001_c0 + cpd00006_c0 + cpd03077_c0 <=> cpd00005_c0 + cpd00013_c0 + cpd11625_c0	H2O + TPN + alpha-Amino acid <=> TPNH + NH3 + 2-Oxo acid	<=>
rxn05778	rxn05778	|1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4|1.4.1.5|1.4.1.7|1.4.1.8|1.4.1.9|1.4.1.10|1.4.1.12|1.4.1.15|1.4.1.19|1.4.1.20|	R00145	9.927	1.339	cpd00001_c0 + cpd00003_c0 + cpd03077_c0 <=> cpd00004_c0 + cpd00013_c0 + cpd11625_c0	H2O + NAD + alpha-Amino acid <=> NADH + NH3 + 2-Oxo acid	<=>
rxn05777	ATP:ammonia phosphotransferase	|2.7.3.8|		10000000	10000000	cpd00002_c0 + cpd00013_c0 <=> cpd00008_c0 + cpd12010_c0	ATP + NH3 <=> ADP + Phosphoramide	<=>
rxn05776	rxn05776	|3.4.11.5|	R00135	-5.853	1.06821	cpd00001_c0 <=> cpd00129_c0	H2O <=> L-Proline	=>
