                 maximum    minimum
12DGR120tipp     33.2742     0.0000
12DGR140tipp     33.2742     0.0000
12DGR141tipp     33.2742    -0.0000
12DGR160tipp     33.2742     0.0000
12DGR161tipp     33.2742     0.0000
12DGR180tipp     33.2742     0.0000
12DGR181tipp     33.2742     0.0000
12PPDRtex         0.0000   -28.2682
12PPDRtpp         0.0000   -28.2682
12PPDStex         0.0000     0.0000
12PPDStpp      1000.0000 -1000.0000
14GLUCANabcpp     0.0000     0.0000
14GLUCANtexi      0.0000     0.0000
23CAMPtex         0.0000     0.0000
23CCMPtex         0.0000     0.0000
23CGMPtex         0.0000    -0.0000
23CUMPtex         0.0000     0.0000
23DAPPAt2pp       0.0000     0.0000
23DAPPAtex        0.0000     0.0000
23PDE2pp          0.0000     0.0000
